seed,condition,K5,Caco2_Wang_K5,VDss_Lombardo_K5,K10,Caco2_Wang_K10,VDss_Lombardo_K10,K20,Caco2_Wang_K20,VDss_Lombardo_K20,K50,Caco2_Wang_K50,VDss_Lombardo_K50
2,maml_mlp,14.23398232460022,0.9761662483215332,27.491798400878906,14.449170917272568,0.9676911234855652,27.93065071105957,14.104167461395264,0.9679155349731445,27.240419387817383,14.040104985237122,0.9717772006988525,27.10843276977539
2,maml_static_gnn,14.248633325099945,0.9483622312545776,27.548904418945312,14.094331622123718,0.9284055233001709,27.260257720947266,13.819943815469742,0.9356735348701477,26.704214096069336,13.93189886212349,0.9405723214149475,26.92322540283203
2,maml_dense_gsl,15.42985224723816,1.1543879508972168,29.7053165435791,15.640090346336365,1.1456553936004639,30.134525299072266,15.179008066654205,1.1506377458572388,29.207378387451172,15.210589170455933,1.1605277061462402,29.260650634765625
2,maml_hopfield_nogating,13.663730502128601,0.959277868270874,26.368183135986328,13.72622162103653,0.9594889879226685,26.49295425415039,13.708297431468964,0.9571794271469116,26.459415435791016,13.826835721731186,0.9577123522758484,26.695959091186523
2,maml_hopfield_evid,13.598983138799667,0.8694941401481628,26.328472137451172,13.265988439321518,0.8742257952690125,25.657751083374023,13.256281554698944,0.8688253164291382,25.64373779296875,13.675444036722183,0.8763073086738586,26.474580764770508
3,maml_mlp,14.001032799482346,0.9281520247459412,27.07391357421875,13.958788633346558,0.9177432060241699,26.999834060668945,13.862735897302628,0.9077494740486145,26.81772232055664,13.987193048000336,0.9168566465377808,27.05752944946289
3,maml_static_gnn,13.666655451059341,0.8875120282173157,26.445798873901367,13.546277701854706,0.8846219778060913,26.20793342590332,13.57824957370758,0.8873722553253174,26.269126892089844,13.641347795724869,0.8783701062202454,26.404325485229492
3,maml_dense_gsl,13.247709393501282,0.8920481204986572,25.603370666503906,13.19221779704094,0.8796347975730896,25.50480079650879,13.168085187673569,0.8814756274223328,25.454694747924805,13.370864510536194,0.8817760944366455,25.859952926635742
3,maml_hopfield_nogating,14.768744885921478,0.9684609174728394,28.569028854370117,14.050486713647842,0.9548152089118958,27.14615821838379,14.216344445943832,0.9560539126396179,27.476634979248047,14.202444612979889,0.9557982683181763,27.4490909576416
3,maml_hopfield_evid,13.093748807907104,0.8950438499450684,25.29245376586914,12.944747149944305,0.8952258825302124,24.9942684173584,12.846069872379303,0.8932238817214966,24.79891586303711,12.960057377815247,0.8936617374420166,25.026453018188477
4,maml_mlp,13.751099735498428,0.9280055165290833,26.574193954467773,13.823164701461792,0.9182887077331543,26.72804069519043,14.00786691904068,0.9202080965042114,27.09552574157715,14.128018826246262,0.9182080626487732,27.33782958984375
4,maml_static_gnn,14.437223553657532,0.9751341342926025,27.89931297302246,14.555315345525742,0.9991328120231628,28.11149787902832,14.670205146074295,0.969968855381012,28.370441436767578,14.947200924158096,0.9633906483650208,28.931011199951172
4,maml_dense_gsl,13.068437784910202,0.8741249442100525,25.26275062561035,13.099919766187668,0.8798035979270935,25.320035934448242,13.164588451385498,0.8765668869018555,25.45261001586914,13.352910310029984,0.8599763512611389,25.845844268798828
4,maml_hopfield_nogating,13.41632491350174,0.9811922311782837,25.851457595825195,13.415469229221344,1.015539288520813,25.815399169921875,13.153398334980011,0.9785152673721313,25.32828140258789,13.255668103694916,0.9570854902267456,25.554250717163086
4,maml_hopfield_evid,13.277382642030716,0.9967074990272522,25.55805778503418,13.381117641925812,1.0077282190322876,25.754507064819336,13.297655463218689,0.9921290874481201,25.603181838989258,13.426856219768524,0.9842876195907593,25.86942481994629
0,maml_hopfield_two_stage,13.513038754463196,0.985210657119751,26.04086685180664,12.940743684768677,1.0488667488098145,24.83262062072754,12.73808479309082,1.0101356506347656,24.466033935546875,12.776820927858353,0.9913974404335022,24.562244415283203
1,maml_hopfield_two_stage,12.189088970422745,0.8846285939216614,23.493549346923828,12.184103935956955,0.8529319167137146,23.515275955200195,12.247734725475311,0.8655732870101929,23.62989616394043,12.36537280678749,0.8692324757575989,23.861513137817383
2,maml_hopfield_two_stage,12.935221195220947,0.8587770462036133,25.01166534423828,12.686818212270737,0.8548166155815125,24.51881980895996,12.647348672151566,0.859354555606842,24.43534278869629,12.615448236465454,0.8395886421203613,24.391307830810547
3,maml_hopfield_two_stage,12.609630763530731,0.8539737462997437,24.36528778076172,12.663567543029785,0.8553028106689453,24.471832275390625,12.514563202857971,0.8559849262237549,24.173141479492188,12.512745380401611,0.8593511581420898,24.166139602661133
4,maml_hopfield_two_stage,12.532613724470139,0.8511046767234802,24.214122772216797,12.514444649219513,0.8169161081314087,24.211973190307617,12.270475089550018,0.8322557210922241,23.708694458007812,12.460376352071762,0.7951309084892273,24.125621795654297
