K,seed,episode,target_only,random_aug,similarity_only,evidential_oracle
10,4,3,0.522789899898774,0.564883027780902,0.5375239005736138,0.5620430772691486
10,4,4,0.5759616466089303,0.5986671915420088,0.5809667079068721,0.5836098301653357
20,0,0,0.5935630286775325,0.5765421910460079,0.5526098617701671,0.5751864186978691
20,0,1,0.5118924813581301,0.49829054790886856,0.4929411417961036,0.5152671755725191
20,0,2,0.49584426301983553,0.5160040083704206,0.507309381355183,0.517683987149636
20,0,3,0.5228123434230305,0.5317280202776387,0.5167703144802382,0.5290901588611512
20,0,4,0.577116920628371,0.5577087447316456,0.5681865071178048,0.5698222759291461
20,1,0,0.4769960800495152,0.4814833917887353,0.4799728845530372,0.48104866043797345
20,1,1,0.5308438209201568,0.4862359633352,0.5195997524241799,0.5069557016121902
20,1,2,0.6019334492616936,0.6146953933213475,0.5824515900851779,0.6100828200064842
20,1,3,0.502431548233075,0.5109345987208582,0.5232397064458133,0.5071178048277285
20,1,4,0.5649886527749124,0.5816705473194024,0.5573255916767368,0.5664623183707154
20,2,0,0.5263638775089157,0.5149134958295264,0.5081935807126647,0.5224439270240797
20,2,1,0.5850452415337912,0.5851631347814554,0.5779421733620207,0.585457867900616
20,2,2,0.6317604409207463,0.5959503669427333,0.5979398154970673,0.601196616463792
20,2,3,0.5688643932918742,0.5686433434525038,0.5746411624274219,0.5684812402369653
20,2,4,0.5477909752718914,0.5678770373426862,0.5388900350732413,0.5430457720534057
20,3,0,0.5861652273866015,0.6048218338294675,0.5832768428188276,0.5993545344690384
20,3,1,0.5652318075982198,0.5548203601638717,0.5627486810692919,0.5565740222228772
20,3,2,0.6333225264522974,0.6170827315865484,0.5973356126027882,0.6371982669692593
20,3,3,0.5327153762268266,0.5440920746264258,0.5388900350732411,0.5573698016446108
20,3,4,0.522090247281087,0.5092693565976009,0.5389342450411152,0.5084588405199092
20,4,0,0.5399068643343452,0.6003861003861004,0.5635444604910254,0.6121754251525244
20,4,1,0.5484541247900027,0.5590645170797843,0.547113089097822,0.5518877656282236
20,4,2,0.5988092781985912,0.606089186241858,0.6337204161631643,0.5999734740192755
20,4,3,0.5915588434672404,0.5960535235344395,0.575584308408736,0.59425565150756
20,4,4,0.5776327035869021,0.558460314185505,0.5717527778596481,0.5593003035751127
50,0,0,0.6164221567148832,0.6131315554946185,0.6127202303420854,0.6435010625899775
50,0,1,0.5814081031055048,0.5864296976760128,0.5914341536984987,0.578014670597107
50,0,2,0.5655720847329814,0.5664118735860698,0.5649036813601152,0.51960649893741
50,0,3,0.5273873997394941,0.5567457325015425,0.5552204017275657,0.570970727359978
50,0,4,0.5796428326592171,0.5579625694111195,0.5662233495578255,0.579471447178995
50,1,0,0.5971241516418729,0.5873894563652566,0.6007575238225817,0.5967128264893398
50,1,1,0.489956810858984,0.498783163090423,0.4869232878590526,0.4668711866730651
50,1,2,0.5842188249811476,0.5604990745184069,0.5693082882018236,0.5593165147048742
50,1,3,0.6121546582573525,0.6172619455679715,0.5818365668060601,0.6022828545965586
50,1,4,0.6309042297936518,0.6218550764379241,0.600363337218071,0.6069445396586002
50,2,0,0.5657263316651814,0.5644238020154932,0.577689038184685,0.5888805100431892
50,2,1,0.5715877150887777,0.5837732227325702,0.5698053060944677,0.5910399670939879
50,2,2,0.5804140673202165,0.5576369369986975,0.5595221772811407,0.5905772262973881
50,2,3,0.48207307876876676,0.4801878384863235,0.4466819771028999,0.46863645711935287
50,2,4,0.49393295400013715,0.5276444779598273,0.5089977377116611,0.5024508123671763
50,3,0,0.5934222252690752,0.5993864399808049,0.6052649619524234,0.5975697538904504
50,3,1,0.5624528689929389,0.5709878659080003,0.5728731061904435,0.6074586960992665
50,3,2,0.609361074929732,0.600706108178515,0.5852642764105025,0.599883457873449
50,3,3,0.5706622334955782,0.5389387811064646,0.5461026941797491,0.5787859052581066
50,3,4,0.5762665386988415,0.5726331665181326,0.5577911839308973,0.5680914512922466
50,4,0,0.6214951669294577,0.5971927058339618,0.6446493453074654,0.6021971618564476
50,4,1,0.5307636936998698,0.5181154452594776,0.5724789195859328,0.5088434907794612
50,4,2,0.601665866867759,0.581013916500994,0.5616130801398506,0.5688284088572017
50,4,3,0.6201240830876809,0.6147254404606841,0.6238945636525673,0.5783403030095291
50,4,4,0.5932508397888532,0.5981353259751834,0.5988551449921162,0.5757866593542196
